[08/Apr/2021 23:45:38] DEBUG [django.db.backends:123] (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
[08/Apr/2021 23:45:38] DEBUG [django.db.backends:123] (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2021-04-08 23:45:38.768475' AND `django_session`.`session_key` = 'zunng2pttptgu2582uveo3i6rfighz82') LIMIT 21; args=('2021-04-08 23:45:38.768475', 'zunng2pttptgu2582uveo3i6rfighz82')
[08/Apr/2021 23:45:38] DEBUG [django.db.backends:123] (0.001) SELECT `my_user`.`id`, `my_user`.`userid`, `my_user`.`name`, `my_user`.`password`, `my_user`.`tel`, `my_user`.`photo`, `my_user`.`authority`, `my_user`.`registered_dttm` FROM `my_user` WHERE `my_user`.`id` = 1 LIMIT 21; args=(1,)
[08/Apr/2021 23:45:38] DEBUG [django.db.backends:123] (0.001) SELECT `crudmember_userip`.`id`, `crudmember_userip`.`ip`, `crudmember_userip`.`pub_date` FROM `crudmember_userip` WHERE `crudmember_userip`.`ip` = '127.0.0.1' LIMIT 21; args=('127.0.0.1',)
[08/Apr/2021 23:45:47] DEBUG [django.db.backends:123] (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
[08/Apr/2021 23:45:47] DEBUG [django.db.backends:123] (0.001) SELECT `crudmember_userip`.`id`, `crudmember_userip`.`ip`, `crudmember_userip`.`pub_date` FROM `crudmember_userip` WHERE `crudmember_userip`.`ip` = '127.0.0.1' LIMIT 21; args=('127.0.0.1',)
[08/Apr/2021 23:45:47] DEBUG [django.db.backends:123] (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2021-04-08 23:45:47.010955' AND `django_session`.`session_key` = 'zunng2pttptgu2582uveo3i6rfighz82') LIMIT 21; args=('2021-04-08 23:45:47.010955', 'zunng2pttptgu2582uveo3i6rfighz82')
[08/Apr/2021 23:49:11] DEBUG [django.db.backends:123] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[08/Apr/2021 23:49:11] DEBUG [django.db.backends:123] (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
[08/Apr/2021 23:49:11] DEBUG [django.db.backends:123] (0.003) SHOW FULL TABLES; args=None
[08/Apr/2021 23:49:11] DEBUG [django.db.backends:123] (0.001) SELECT `django_migrations`.`id`, `django_migrations`.`app`, `django_migrations`.`name`, `django_migrations`.`applied` FROM `django_migrations`; args=()
[08/Apr/2021 23:49:16] DEBUG [django.db.backends:123] (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
[08/Apr/2021 23:49:16] DEBUG [django.db.backends:123] (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
[08/Apr/2021 23:49:16] DEBUG [django.db.backends:123] (0.001) SELECT `crudmember_userip`.`id`, `crudmember_userip`.`ip`, `crudmember_userip`.`pub_date` FROM `crudmember_userip` WHERE `crudmember_userip`.`ip` = '127.0.0.1' LIMIT 21; args=('127.0.0.1',)
[08/Apr/2021 23:49:16] DEBUG [django.db.backends:123] (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`expire_date` > '2021-04-08 23:49:16.046026' AND `django_session`.`session_key` = 'zunng2pttptgu2582uveo3i6rfighz82') LIMIT 21; args=('2021-04-08 23:49:16.046026', 'zunng2pttptgu2582uveo3i6rfighz82')
[08/Apr/2021 23:49:28] DEBUG [django.db.backends:123] (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
[08/Apr/2021 23:49:28] DEBUG [django.db.backends:123] (0.001) SELECT `crudmember_userip`.`id`, `crudmember_userip`.`ip`, `crudmember_userip`.`pub_date` FROM `crudmember_userip` WHERE `crudmember_userip`.`ip` = '127.0.0.1' LIMIT 21; args=('127.0.0.1',)
